Opinion;Rating
I am on book twelve of the series, and I have loved every novel in The Wheel of Time. Jordan has crafted a wonderful world, and keeps it interesting through the use of subplots and additional side characters. While I still find myself wishing to return to certain characters, each shift in focus fits into the storyline wonderfully--even if it doesn't seem to initially. I would recommend these books to any fantasy lover--and maybe even some who don't typically seek out fantasy. My only complaint? It is very difficult to answer the question: So, what's that about? R.I.P. Robert Jordan and thank you for these treasures!;positive
This was my second time through The Eye of the World. The last time was close to when it first came out. The world Robert Jordan creates is well done but his characters and story telling shown through the most. The beginning of the book starts out exciting then slows slightly however from the halfway point to the end hold on because it becomes increasingly hard to put down. I plan to comtinue reading this series unlike the last time where I caught up to the realeases and never stayed with it. Happy reading, Roc;positive
Very fun read. Best fantasy novel i have read.;positive
I found myself literally gasping in surprise while reading this book. Robert Jordan writes a very exciting story, and I'm eager to keep reading the series.;positive
The Wheel of Time series is fantastic I have read every book more times than I can count and it is always an amazing experience. I cant wait for the last book. Enderby you dont know what your talkig about. R.I.P Robert Jordan. keep up the good work!;positive
I first read this book on an intercomtinental flight twelve years ago. I keep coming back to the series because I enjoy it so much. Jordan has some problems like over description, but it was only with the last couple of novels I reallozed why. The novels are fantastic and it all leads somewhere.;positive
"The main idea of The Eye of the World is for Rand Al'Thor to begin his quest to save the world from the Dark One. The audience this book could be intended for almost anyone. This is the first book in Jordan's and Sanderson's thrilling series titled The Wheel of Time. A brief summary of this book is; Rand Al'Thor, a farmer from the Two Rivers, sees a mysterious figure on his way to town starting a series of chain reactions that take Rand and his friends on a mission to save the world from the Dark One. This was one of the best books I've read in a long time. It is very entertaining and exciting. It is another one of the books that once you start reading you can't stop. This was an extremly well thought out book. I would recommend it to everyone I know. I feel that way is because the book entertains you to the point where you keep wanting to read more.";positive
I have read the entire series twice before but it has been a number of years since I last read it. I am a book-o-phile (my created word) I love to keep books and return to the good ones every few years. This can creat storage problems. So I am ecstatic to see the Nook version released. I am going to order the first 2 books and hope they keep up the conversion faster than every 6 months or so. The charachter and plot development are excellent. I will really enjoy entering this world once again.;positive
idk about the book, but i would like to read this series but dnt rlly want to spend the money. Does neone know how to use the lendme thing?;positive
When I first found Eye of the World I was skeptical, I didnt know much about it and judged it by it's cover (literally, I didn't like the cover). When I first started it though, I was hooked, the way Jordan described his characters and the world he created is what caught me. New characters sprang up every few chapters and then disappeared just as fast, this to me helped to portray the world as an actual world, not just a book about a few protagonists. During the middle of the book, the length of the book got to me. There were a few chapters that I found irritating to get through because I was too interested in the main story. I throughly enjoyed the book overall and Im looking forward to reading more of the series.;3
Years ago I read this series and fell in love with the pure and simplistic way the author told his tale. Now I find myself revisiting the series on my nook color. The story is not only rich but emotionally satisfying. It is one of the few series of books that was worth the price paid.;positive
"If you can get past the blatantly obvious similarities to Tolkien's most beloved series, you might enjoy this book. I realize that most fantasy works have similarities and that Orcs, prophesied destinies, etc. are ever present in all of them but this book contains so many nods to The Lord of the Rings you'll think the book is suffering an identity crisis. Also, there is a lot of nothing that goes on in the book. There are plenty of chapters that could have been shortened and consolidated into another chapter. That being said, there are some pretty good moments in the book and you can tell that the author is setting up characters and plotlines for later books in the series. However, the getting there is better than the ending itself, which was too deus ex machina for me. I'm not sure I will give the second book a chance; I guess it says something when there are over a dozen books in the series so perhaps they get better. To summarize, I docked 1.5 stars for being too close to The Lord of the Rings, a half star for the ending, and another star for the unnecessary length.";positive
i love this series! ive read all the books at least twice and cant stop. i fully recomend it to readers of all ages;negative
The Eye of the World is the first book of the Wheel of Time series by Robert Jordan, and is a very exciting adventure book. When first given the book I was very skeptical about it being any good, but ten minutes into it I felt like I was never going to put it down. At first the book is somewhat confusing because Jordan throws lots of detail in the book and doesn't really explain everything. As you read on everything begins to come together and make sense. The book is basically about a young man and a group of his friends that are forced into saving the world from evil. Jordan uses lots of detail to make every one of his characters as unique as the book. Honestly I have never read a book quite like The Eye of the World because no other writer puts so much thought and creativity into their books. The book is somewhat of a cross between The Lord of the Rings and Harry Potter but it has nowhere near as much magic which makes the book less childish, and no child could ever possibly keep up with Jordan's books. The book is fairly long, about seven hundred pages, but worth every minute spent reading it. As soon as I finished the first book I had to get the second, and four weeks after beginning the first I am now well into the fourth book and I cannot stop. With twelve or so books in the series it is quite a big commitment to get the series done but well worth the time and effort. With everything said and done I would definitely recommend this book to anyone who loves to read.;positive
If it wasn't for this book, I never would have been as interested in reading with the same frequency that I do today. Robert Jordan was the second coming of Tolkien and sadly as I write this he's been taken back by the wheel himself. Though the series is 1 book from completion, someone who is quite capable is finishing this mans great work where he could not otherwise. I would recommend this book to anyone interested in fantasy at all.;positive
I was recommended this a couple years ago and decided to try it. Although I was bored by the first 50 pages, it soon picked up. I'm far into the series now, and it justs gets richer and richer.This book led me onto the greatest series I have EVER read in my life. NO KIDDING!;positive
I have been reading Robert Jordan when the series first came out in hard cover 14 years ago , I am now starting over with the e-books! Wheel of Time is an adventure, you can not walk away from. You need to read it, book one The Eye of The World to begin.;positive
Awesome..probably shaping up to be one of the most epix fantasy series of all time..second only to LOTR. Cant wait to read more!!;positive
I first read this back in 1993 when I was 10 and was instantly in love with it. I just recently re-read it (realizing there are now 13 books in the series) and I still loved it. The characters are amazing and well written. They have a depth to them most other novels skip over. This definitely sets the bar for all other fantasy novels I read. A Must Read!;positive
Simply an amazing first step into an incredibly well written series by Robert Jordan and those who continue to carry on his words and story. There are many characters you come to know and stories they each tell and are part of. Enjoy reading this book and series!;positive
he was a wonderful and creative writer;positive
Of all the Fantasy/Sci-Fi books that I have read, no book has engrossed my mind like this book. Robert Jordan does a fantastic job in developing characters, while at the same time providing you with a exciting, fast-paced plot that makes it hard to ever let go of the book. The first few chapters are not thrilling, but they provide necessary and helpful background on the main characters as well as setting the stage for the rest of the action-packed novel. A main reason this book is so highly regarded is because of the many different audiences it appeals to. With its ample supply of action,its many different twists in the plot, in depth character development, and just the right amount of romance, this book is great for any fantasy lover. Robert Jordan wrote a winner with this book and the rest of this marvelous series.;positive
Mr. Jordan is by far one of the greatest writers of our generation.;positive
Awesome does not begin to describe how great this book is. Sure it starts out a little slow but what fantasy novel doesn't? The stage must be set for this awesome book to unfold. 5/5 stars, 10/10 rating, two thumbs up. Stop reading this review and go buy this book.;positive
This book is amazing! If you like Harry Potter, then you will love this. Grade A from beginning to end, you'll feel like you have been transported into this world and given an omniscient (all knowing) point of view. A page turner from beginning to end and with more then 750 pages, you'll never be bored and constantly feel on edge. Whether you're looking for a book to occupy your time or an entire new series to get yourself wrapped up in, you won't regret picking up this book. Endlessly entertaining with a solid plot, it will pick you up and never let you go. The detail that goes into books such as these make them worthy of praise throughout the ages. I feel confused about trying to explain this book exactly to you without giving away any details. I won't give away any details to you. Those must be discovered for yourself. I recommend reading this with a friend or asking others if they have read this book as well. You will gain a lot from conversing with someone else who is truly interested in this book and its rather large series. Be aware that, to my knowledge, there are 12 books in this series. If you are going to become interested in this series, make sure you have an appropriate amount of time to devote to each book. It would be a true shame to read this book without having time to fully analyze it and appreciate the thought and detail that was put into this book by the author. It's a great book, something that anyone could truly appreciate. I find it difficult to believe that anyone could dislike this book. As my friend Andre said It's just so....GOOD!;positive
when i downloaded the sample and waited for it to load up,it turns out there IS no sample except the cover and the book's jacket quotes, which is worse than no sample at all! I'll read something else. Too bad, as i had just about decided to begin this series at last. no more, publisher: you blew it!;positive
When I first picked up this book, it didn't look thrilling or anything like the type of book I would enjoy reading. When I first began reading, it dragged a bit at the start but as the story progressed, so did my enthusiasm to read. Some parts of this novel are slow and seem to drag on, but it is still a worthwhile read. I am now on the 3rd book in this series and it seems to be getting better and better as the series goes on.;negative
I docked the current cover, cause, well, it sucks. The original cover is MUCH better. That beside, the book is OUTSTANDING. What better way to open an epic saga? The Eye of The World sucks you in. The length does not bore or drag. Robert Jordan keeps you going throughout. Well developed characters, a well thought out plot to keep you going through the entire series, lots of magic, lots of action, a little romance... What more do you want? The story and characters are complex enough to keep you going, but not overly so. You won't need an index of characters like Alexandre Dumas supplies. If you like science epic fiction/fantasy novels then this series is definitely worth the time involved. I'm on my second time through.;positive
You may have seen the first 100 pages are slow in another review. The first 1550 pages of the 1847-page eBook are slow. Nothing really happens, it's really a basic tale of a journey from here to there with people chasing you. Further, there was no rhythm to the story. By that I mean there weren't exciting, nail-biting parts in between the slow parts. I kept waiting for something to happen. The last 150 pages completely changed pace and too rapidly (for the pace of the other ~1600 pages) completed the book. It was like the author thought, well, I've written a lot, now I need to end this book. I didn't really identify with any of the characters, a rarity for me when reading fantasy, until probably 2/3 of the way through the book, when the nature of a character changed (but not the protagonist). The characters are fairly well-developed, but for me at least, uninteresting, thus I wasn't rooting for any of them. Finally, it's really important in the fantasy genre for the author to be able to paint scenes with words, so the reader has a clear image. The author failed miserably in that regard. Often, I was left wondering, where did that come from? Also, many of the sentences are awkwardly-formed, with strange placement for dependent clauses. And at least in the eBook, the dialog isn't split into separate paragraphs (and at the same time intermixed among multiple characters and narrative), so it is sometimes difficult to tell who's speaking. Oh, and the first 100 pages...almost all narrative.;positive
The Eye of the World is the first in a series of fourteen books (two still to be released). The Eye of the World opens you up to the epic adventure that captivates from the first page. It's target audience is deffinetly fantasy lovers however, even you if don't like the genre I believe you will enjoy the book. The Eye of the World is based around three main characters Rand Al'Thor, Matrim Cauthon and Perrin Aybara. It follows their struggles of growing into manhood having to face many difficult challanges and obsticles along the way. Therefore I would highly recommend this book to fantasy lovers and any looking to give the genre a try.;negative
This series of books is one of my all-time go-to regular reads. What I really like about this world Robert Jordan (may the Light illumine him :) made is the women. Usually, fantasy books and hero journeys are Brave Young Men with ancillary women who nurture them, tempt them or occasionally heal and clean up after them. In this series, the women are heroines with equally thrilling arcs and journeys, too. Perfect series to start on vacation or snowbound weekend. Those of you who are re-readers like me, this series, beginning with this book, is a great addition to your stash. The cover art is silly, and I encourage you to ignore it.;positive
Fantasy as a genre can often seem trite or stale, with the same plots repeated from book to book, author to author. However, Jordan distances himself from the run-of-the-mill fantasy writer, taking familiar themes and reinventing them so as to seem innovative and fresh. The characters are complex and deep, and the plot is intricate and fast-moving. The stories provide plenty of re-reading potential, as well, since Jordan has a knack for casually stating a minor detail that becomes very important three books later. I highly recommend this series to anyone looking for a fantasy novel that isn't just the same old story.;positive
The first 100 pages or so are incredibly boring. That being said, there are over 8,000 pages in this incredible epic. You know the saying Be prepared for late nights Well, once you fall into this incredibly complex world, this will be your state for at least a couple of months.;positive
I was enjoying the story until I read a thousand pages dedicated to terrifying and torturing children. I have read 2400 pages of the e-book and they are still being tortured. I think I will skip to the end. There are wonderful characters in the story like Moraine and the Warder and Thom and many others. Just too much time and emphasis on terrifying the youngsters for my taste.;positive
Fabulous. Great characters and action. Be sure to review the glossary for more enjoyment while reading.;positive
I really enjoyed the first 5 or 6 books then it really started to slow down. I quit reading after 10 books, thinking this will climax and end soon but got turned off when I found there will be at least 12 books (maybe more). The story really dragged through the last 3 books I read (7-10). This series is simply stretched way too thin. The author needs to realize when it's time to wrap up a series and begin a new one. Only two stars, pretty much because the conclusion should have been reached by the 6th or 7th book max.;positive
Robert Jordan is one of the best writers ever(yes I ever). He writes with great depth and you learn to love the characters he wants to you to love.;negative
even if you do not read another book in the wheel of time series, the eye of the world is quite satisfying as a self contained masterpiece as well. that being said, read the whole series! you will not regret it. the sweeping scope, masterful writing style, and epic story are unrivaled. from the first paragraph you will find yourself drawn in, and the fleshed out characters will keep you hooked. robert jordan takes a genre that is often not taken seriously and gives it literary credibility. though he pays homage to his predecessors, like tolkien, in some of the imagery used, jordan not only makes the world of fantasy his own, but sets a new standard and quality at which it can be enjoyed. get it.;positive
This is the first E-book I've purchased and I have to say it's well worth the money. I read it on my blackberry and on my computer here, it formatted well on both. Very few grammatical errors also.;positive
Robert Jordan was an amazing author who has written many great novels. This book The Eye of the World has one of the greatest set of details in a plot i have ever read. He goes into so much detail that helps the story flow so much smoother and doesn't leave you wondering why things are happening. Of course like any other book there are some small places where the plot goes dry but it comes right back and keeps you reading page after page. This book is long as are all the others in the series(the final is being released in Oct. 2009 by Robert Jordan's friend). I recommend this book to anyone who enjoys a great adventure book.;positive
"The Best work of Fantasy in the modern Era. More Grand than Tolken. The shear volume of work in this series amazes me everytime I re-read the whole series. Envokes emotion &amp; an Attachment to the characters unlike any other author I've ever read.";positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
